typeface,source_status,languages,scripts_or_writing_systems,coding_ligatures,italic,paid,free_trial,variable_option,stylistic_sets,character_variants,proportional_counterpart,own_website,zero_style,powerline_symbols,box_drawing,equal_vertical_metrics,primary_source,notes
MonoLisa,Measured locally,"593 publishable measured","Latin 496; Cyrillic 88; Hebrew 5; Greek 2; Armenian 2",Yes,Yes,Yes,Yes,Yes,"Yes; ss01-ss15 measured, including ss01 script variant","Yes; cv01-cv12 measured","Yes, MonoLisa Text",Yes,"zero feature measured",Yes,Yes,"Yes; hhea/OS2 typo/win metrics align in v3.000",https://www.monolisa.dev/,"Measured from MonoLisaCode v3.000: 2105 glyphs, 1784 cmap entries, Hyperglot 593 publishable languages, Powerline 6/6, box drawing 128/128, block elements 32/32."
JetBrains Mono,Repository release measured,"358 measured","Latin 331; Cyrillic 25; Greek 2",Yes,Yes,No,N/A,TBD,"Yes; ss01, ss02, ss19, ss20 measured","Yes; cv01-cv12, cv14-cv20, cv99 measured","No obvious counterpart",Yes,"zero feature measured",Yes,Yes,"Yes; hhea/OS2 typo/win metrics align in v2.304",https://www.jetbrains.com/lp/mono/,"Measured from JetBrains Mono v2.304: 1743 glyphs, 1363 cmap entries, Hyperglot 358 languages, Powerline 6/6, box drawing 128/128, block elements 32/32."
Fira Code,Repository release measured,"395 measured","Latin 302; Cyrillic 91; Greek 2",Yes,"No official italic files in v6.2 release archive",No,N/A,Yes,"Yes; ss01-ss10 measured","Yes; cv01-cv32 measured","Fira Sans / Fira Mono family relation",Yes,"zero feature measured",Yes,Yes,"Yes; hhea/OS2 typo/win metrics align in v6.002",https://github.com/tonsky/FiraCode,"Measured from official Fira Code v6.2 release file: 2030 glyphs, 1586 cmap entries, Hyperglot 395 languages, Powerline 6/6, box drawing 128/128, block elements 32/32."
Cascadia Code,Repository release measured,"513 measured","Latin 421; Cyrillic 50; Arabic 40; Greek 2","Yes; Cascadia Mono variant disables ligatures",Yes,No,N/A,Yes,"Yes; ss02, ss19, ss20 measured",TBD,"No obvious proportional counterpart",Yes,"zero feature measured","No in standard Cascadia Code build measured",Yes,"No; Win ascent differs from hhea/OS2 typo in v2407.024",https://github.com/microsoft/cascadia-code,"Measured from Cascadia Code v2407.024: 4319 glyphs, 2426 cmap entries, Hyperglot 513 languages, Powerline 0/6, box drawing 128/128, block elements 32/32. Use PL build if comparing Powerline specifically."
Hack,Repository release measured,"382 measured","Latin 306; Cyrillic 73; Armenian 2; Greek 1",No,Yes,No,N/A,No,"None measured","None measured","No obvious counterpart",Yes,"Oval-filled zero",Yes,Yes,"No; typo metrics and line gap differ from hhea/win in v3.003",https://sourcefoundry.org/hack/,"Measured from Hack v3.003: 1573 glyphs, 1548 cmap entries, Hyperglot 382 languages, Powerline 6/6, box drawing 128/128, block elements 32/32."
Source Code Pro,Repository release measured,"413 measured","Latin 356; Cyrillic 55; Greek 2","No coding ligatures found in public README",Yes,No,N/A,Yes,"Yes; ss01-ss07 measured","Yes; selected cvXX features measured","Source Sans family relation",Yes,"zero feature measured",Yes,Yes,"No; hhea/win differ from OS2 typo metrics in v2.042",https://github.com/adobe-fonts/source-code-pro,"Measured from Source Code Pro v2.042: 1568 glyphs, 1369 cmap entries, Hyperglot 413 languages, Powerline 6/6, box drawing 128/128, block elements 32/32."
IBM Plex Mono,Repository release measured,"410 measured","Latin 341; Cyrillic 69","No coding ligatures found in public README",Yes,No,N/A,TBD,"Yes; ss01-ss09 measured",TBD,"IBM Plex Sans / Serif / Sans Condensed",Yes,"zero feature measured",No,Yes,"No; typo metrics and line gap differ from hhea/win in v2.005",https://github.com/IBM/plex,"Measured from IBM Plex Mono v2.005: 1207 glyphs, 1082 cmap entries, Hyperglot 410 languages, Powerline 0/6, box drawing 128/128, block elements 32/32."
Monaspace,Repository release measured,"368 measured","Latin 338; Cyrillic 28; Greek 2","Yes, 10 stylistic-set groups",Yes,No,N/A,Yes,"Yes; ss01-ss10 measured","Yes; selected cvXX features measured","Five-family coding superfamily, not a normal proportional text counterpart",Yes,"Character variants include zero alternates","Yes in measured Neon build",Yes,"No; Win descent differs from hhea/OS2 typo in v1.400",https://github.com/githubnext/monaspace,"Measured from Monaspace Neon v1.400: 3606 glyphs, 2460 cmap entries, Hyperglot 368 languages, Powerline 6/6, box drawing 128/128, block elements 32/32."
Recursive Mono,Repository release measured,"345 measured","Latin 345","Yes; coding sequences shaped through rclt in static Rec Mono Linear",Yes,No,N/A,"Yes, five axes","None measured in static Rec Mono Linear","None measured in static Rec Mono Linear","Yes, Sans and Mono in one system",Yes,TBD,Yes,No,"No; Win metrics differ from hhea/OS2 typo in v1.085",https://www.recursive.design/,"Measured from Rec Mono Linear v1.085: 1379 glyphs, 783 cmap entries, Hyperglot 345 languages, Powerline 6/6, box drawing 0/128, block elements 0/32."
Dank Mono,Deferred commercial font,TBD,TBD,"Yes, advertised by product positioning but source needs confirmation",Yes,Yes,"No free trial found; verify before publishing",TBD,TBD,TBD,TBD,Yes,TBD,TBD,TBD,Measure,https://dank.sh/,"Cover later with a licensed copy, written permission/specimens, or public-information-only comparison."
